"","ksat","ndvi_mean_years","ndvi_years_range","ndvi_mean_summer","ndvi_summer_range","mean_slope","sd_slope","median_slope","q5_slope","q95_slope","mean_aspect","sd_aspect","median_aspect","q5_aspect","q95_aspect","mean_twi","sd_twi","median_twi","q5_twi","q95_twi","dem1k","tm_1","tm_2","tm_3","tm_4","tm_5","tm_6","tm_7","tm_8","tm_9","tm_10","tm_11","tm_12","rr_mean","rr_range","soil_unit.1","soil_unit.2","soil_unit.3","soil_unit.4","soil_unit.5","soil_unit.6","soil_unit.7","soil_unit.10","landcover.11","landcover.12","landcover.31","landcover.60","landcover.91","landcover.93","landcover.122","landcover.125","landcover.126","lithology.6","lithology.18","DEPTH"
"41",1477.900024,0.643159807,0.190014541,0.720222354,0.194784582,0.051278807,0.032426439,0.0457238,0.009395878,0.113529906,3.325918198,1.550829887,3.49266243,0.66177094,5.750730038,7.884772778,0.421761185,7.894974709,7.249483585,8.447451591,521.571106,-2.512493134,-0.999143183,2.92834878,7.678955078,12.32774734,15.67548084,17.4096508,17.16642952,13.09310722,8.094696999,2.817853212,-1.171241164,701.4169312,626.3999634,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
"42",288.5,0.630875289,0.151371121,0.742602706,0.141302228,0.067615904,0.045680355,0.057433188,0.010092939,0.152299091,2.737568617,1.750030041,2.425565958,0.302179635,5.900399685,6.418457031,0.728191376,6.403660774,5.236069679,7.55518961,577.46875,-2.683187485,-1.218758821,2.666129112,7.379576206,12.03075504,15.36562157,17.09406853,16.86388779,12.82726002,7.895188808,2.613248587,-1.353225827,715.1016846,649.0999756,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10
"43",417.3987049,0.51771152,0.188663423,0.609760106,0.126146197,0.058195736,0.044355132,0.046945639,0.011312417,0.133735657,2.395431519,1.421493649,2.337273359,0.42533657,5.034799099,7.270734787,0.408608049,7.258755684,6.564333916,7.887775898,584.6130981,-2.700710773,-1.248308301,2.622361898,7.323135853,11.96899986,15.30813599,17.03687859,16.80317116,12.77641296,7.86550045,2.577401161,-1.378130198,700.2322388,641.7999268,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"44",790.0887935,0.543237746,0.186255813,0.656697392,0.162969291,0.030564547,0.022166548,0.025677714,0.006681582,0.067896836,2.562135935,1.230525732,2.436131239,0.819589972,4.799942017,8.342246056,0.609856188,8.269569397,7.5036726,9.387861252,577.9681396,-2.661235809,-1.192487717,2.688381672,7.400339127,12.04368496,15.39048004,17.12230682,16.88135529,12.84279728,7.911700726,2.622853041,-1.335401893,673.2576294,611.6000977,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10
"45",858.9251418,0.511157393,0.117994219,0.620715022,0.180932939,0.056811817,0.036854669,0.048753776,0.00925629,0.127049804,4.243960857,1.561480045,4.533486366,0.507152975,6.039518833,7.173273087,0.92636013,7.391967773,5.475271225,8.37631321,581.2080688,-2.663258791,-1.196667552,2.682750225,7.393785477,12.03633118,15.38446331,17.11634827,16.87487793,12.83757114,7.909021378,2.617259979,-1.339147091,661.5,600,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,10
"46",289.5515368,0.60854429,0.138813436,0.712093592,0.14996922,0.068754382,0.037051298,0.061016038,0.020520549,0.139919028,2.432773829,1.518397212,2.218158484,0.487073213,5.678552628,6.492746353,0.754266679,6.474077225,5.251030922,7.570291042,603.1009521,-2.714488745,-1.26569891,2.589584589,7.285564899,11.92176056,15.27048016,17.00530434,16.76339531,12.74042416,7.842181683,2.541186571,-1.402870417,652.3627319,589.0999756,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,10
"47",1477.900024,0.717336237,0.112890363,0.791523337,0.112392306,0.096785538,0.045457277,0.088275649,0.0376973,0.186101943,2.558262587,1.007084489,2.650727272,1.019466639,4.201296806,6.377087593,0.619222283,6.442017555,5.261403561,7.212306976,605.4706421,-2.70839262,-1.232288003,2.636085272,7.356017113,11.98537445,15.3387289,17.08707047,16.84270096,12.80420971,7.879059792,2.551610231,-1.403608561,637.6068115,526.2999878,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10
"48",700.1216667,0.570780635,0.135815382,0.657071173,0.134523094,0.071154185,0.0386636,0.06297262,0.027101532,0.147702783,2.698452234,0.751602292,2.607065201,1.637911081,4.081319332,6.701905251,0.720102131,6.676901817,5.458669186,7.860280514,574.9341431,-2.660798311,-1.14659977,2.754073381,7.511864662,12.13808155,15.49330521,17.25038338,17.0081749,12.94169521,7.969546318,2.625480175,-1.351093531,627.4220581,508.7000427,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10
"49",424.6234193,0.526835442,0.199340373,0.623628557,0.16366154,0.034901977,0.014652628,0.032249037,0.016057774,0.063511945,2.109802485,0.809046805,2.110093594,0.850414813,3.323235512,7.388784885,0.652410448,7.439243317,6.197929382,8.287100792,533.8962402,-2.537698269,-0.970834732,2.975123167,7.777655602,12.40445614,15.76974583,17.53499222,17.28455544,13.1777401,8.131574631,2.792598963,-1.216074347,616.8508301,494.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,10
"50",664.2999878,0.501024127,0.175801903,0.591054797,0.213292301,0.052666996,0.050244432,0.039205328,0.004262992,0.138019651,3.933217049,1.407782674,4.008282661,0.912886679,5.859824657,7.709653854,0.848522484,7.589540482,6.436230659,9.519049644,530.0045776,-2.538873672,-0.963361025,2.987014771,7.798672199,12.42361927,15.78952026,17.55776405,17.30899429,13.19570637,8.142591476,2.79460454,-1.21848011,600.0407104,472.8999939,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,10
