rowid,prof7_id,sand,clay,silt,DEPTH,x,y,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
12,112,16,32,52,10,613000,368000,3.900719965,0.119350298,2.781889804,0.539029374,-0.428829892,0.330473408,-0.255615833,0.002661487,0.459784063,0.100567214,-0.274867053,-0.026959839,0.089911528,0.354974982,-0.047066206,1.14568075,-0.570211752,1.7298246,0.137184771,0.800871882,0.579195575,-0.625950382,-0.776223696,0.797807257,3.31360219,13.6329504,2.246833027,-2.134414945,-0.636195293,-1.031865241,-1.324981126,2.935247652
13,113,24,12,64,10,613000,385000,6.053471493,-3.091431729,-0.604581283,1.865350018,0.915619641,-0.845818588,-1.243954137,0.515390138,0.718439592,-0.275991664,0.316555161,-0.304155782,0.123279657,0.909912162,-0.620587664,0.654563829,-1.018090704,-0.342467472,0.564989527,2.522696249,-0.316810649,3.632737149,0.084923712,0.759388995,-0.96073142,-0.405488754,-0.009579638,0.161685393,0.016076719,-0.213592865,-1.077894311,0.39348238
14,114,50,10,40,10,613000,390000,4.835617938,-1.598313834,0.01457957,1.627689726,0.809925979,-0.027770128,-1.047498659,0.450794423,0.521441536,-0.301475614,0.403622631,-0.317483756,0.037919277,0.707730897,-0.692245049,0.224057583,1.318278217,-0.72909145,-2.571421522,0.446347674,-0.312964822,-0.110127548,-0.043963497,0.022842606,0.008794726,0.093292774,-0.091043843,0.10858598,0.056292056,0.148601691,-0.837084735,-1.82370551
15,115,19,32,49,10,616000,343000,4.493695597,0.541389673,-1.017168435,-2.30708547,1.748705991,1.601663428,-2.653562753,-0.825084027,0.26165497,0.650886512,-0.75006908,-0.064778665,-0.039498422,0.767866556,2.513881873,-0.620215984,-0.003754444,0.031375544,1.184649543,-0.055440319,-0.210724528,-0.309296076,0.217603703,-0.169420459,0.161759211,0.026856036,-0.057828207,-0.07595884,-0.004988192,-0.513395246,-0.053858427,-0.702412794
16,116,30,17,53,10,616000,349000,6.613565483,-4.231659536,-0.810572027,1.313893369,0.626940269,-0.205319358,-0.485636565,0.300111855,0.118169501,0.197812594,-0.106492694,-0.198432562,0.116958208,0.006382203,0.345812822,-0.042492347,0.563935225,-0.471318446,1.833367685,-0.210372138,3.066333302,0.77638401,-3.360129011,-1.212052721,0.76508234,-0.010993544,-0.167853049,0.005771314,0.016095911,1.015734732,1.146694032,-2.214886123
17,117,36,31,33,10,616000,360000,4.088432483,1.916258131,-0.070698521,-2.806281272,2.162987037,1.669593566,-1.004533118,0.163426718,-0.497750583,0.745163387,0.025758933,0.032128756,-0.072577357,-0.70930492,-0.388445908,-0.992695496,0.105518209,1.131286796,0.417409842,-0.259251221,-0.064875779,-0.117793235,0.209826372,-0.158302845,0.0902169,-0.09461927,-0.01620474,-0.035369893,-0.011139796,0.05844827,-0.122507845,-0.198414817
18,118,17,20,63,10,616000,365000,6.31807288,-3.276874038,-0.7920785,1.936791699,0.830355394,-0.824457772,-1.244052785,0.486383223,0.298919639,0.156823129,0.094567313,-0.285797028,0.122499196,0.039263116,0.459897862,1.090176361,-0.575704492,-1.320606342,-0.410941877,0.304614334,3.653446553,-0.744986964,4.099794546,-0.891067997,1.84818953,-0.894218239,0.046351912,-0.627420689,-0.105508649,-0.785787222,0.647272672,0.558693231
19,119,28,37,35,10,616000,371000,3.806387802,1.575313496,-0.942259632,1.825812654,-0.333883782,1.006276344,0.497190209,-0.116673882,0.286002077,-0.255194689,0.101094531,0.033638403,-0.094958581,0.551504181,-0.465024449,-0.865027065,1.076532192,0.482653115,-2.42653654,0.897848539,-0.98825945,-0.253903651,-0.41819914,-0.226627602,0.452552005,-0.058539763,0.031715355,-0.076361225,0.035851268,-0.371228994,1.370473074,0.25515384
20,120,25,16,59,10,616000,382000,6.293854338,-3.120721956,-0.459305344,-0.814000548,0.451860727,1.038420627,2.13109997,-0.667172953,-2.125987073,-3.403444074,6.577565812,11.57016024,1.696783749,3.317463955,4.294437379,0.626070842,-1.486251678,-0.544681221,-0.172967724,0.456056998,3.485116895,-0.764822352,4.11187821,-0.957643692,2.144322153,-0.813186974,0.055340504,-0.50361137,-0.076173087,-1.175883561,1.222085641,0.983165177
21,121,53,11,36,10,616000,387000,5.451006265,-2.191474611,-0.674768052,1.671753828,0.859215707,-0.199012684,-1.220793857,0.580678999,0.199370238,0.062263724,0.130932164,-0.317834278,0.174645913,-0.004233051,0.289290858,1.123818877,0.034097694,0.125460119,0.416266189,2.315397001,-0.108727083,3.679992214,0.250893569,0.753015498,-1.003929156,-0.41561061,-0.013191038,0.158280243,0.006108111,0.198483738,-1.615310167,0.467615737
22,122,47,8,45,10,616000,393000,3.534894639,0.056947296,-0.065507115,-1.127566274,0.515452846,2.049765319,2.475123353,-2.492701811,-0.869502013,-7.631140157,-4.905339846,-1.610668039,-0.242963468,0.711297942,1.396102173,0.235707444,-0.441466637,-0.992166583,-4.199509653,0.46279536,-0.015551684,0.149816981,-0.165083736,0.015731391,-0.231701329,0.22305218,-0.076104248,0.231995076,0.064933967,0.845903446,-0.292808838,-0.326504149
23,123,33,14,53,10,619000,346000,3.492306436,2.308875882,-0.196482758,-2.618459314,2.427521266,1.628958436,-1.559478743,0.08173794,0.049568227,0.355644496,-0.04827413,0.049487502,-0.06829066,0.283174722,-0.707903915,-0.542989358,-0.603958706,1.70231944,0.024206642,-0.150089977,-0.036393574,-0.062847192,0.053823216,-0.192221642,0.150983263,-0.069295497,-0.003640236,-0.027316175,-0.009736307,0.404098116,0.393794908,-0.306626498
24,124,35,23,42,10,619000,352000,4.620362757,-1.183307612,-0.335606547,1.727798783,1.081144574,-0.324714419,-0.744529222,0.834436292,-0.532898508,0.56063325,0.118238809,-0.275810824,0.123218641,-1.583500872,0.691786943,1.879151664,0.32638062,-0.713188291,-0.735419519,-3.521253333,-1.027406705,0.790158428,-0.0893357,0.109116015,0.086302734,-0.25873344,0.018350902,-0.077639054,-0.027313371,0.617304174,-0.724567957,0.655663209
