rowid,prof7_id,sand,clay,silt,DEPTH,ndvi_mean_years,ndvi_years_range,ndvi_mean_summer,ndvi_summer_range,mean_slope,sd_slope,median_slope,q5_slope,q95_slope,mean_aspect,sd_aspect,median_aspect,q5_aspect,q95_aspect,mean_twi,sd_twi,median_twi,q5_twi,q95_twi,dem1k,tm_1,tm_2,tm_3,tm_4,tm_5,tm_6,tm_7,tm_8,tm_9,tm_10,tm_11,tm_12,rr_mean,rr_range,soil_unit,landcover,lithology
13,5013,44.5,23.5,32,10,0.560706079,0.135411561,0.675776958,0.148846149,0.168219984,0.129435644,0.136101216,0.022418106,0.432187349,3.825808525,1.992420793,4.561850548,0.305534035,6.066298962,5.463148594,0.797824204,5.287679195,4.282339096,6.944983959,502.8643799,-2.708775282,0.095465273,4.673646927,9.289999962,13.93280506,17.46042442,19.2453804,18.80221558,14.85658264,9.743001938,3.632090569,-1.828567505,942.7644043,643.5,5,122,18
14,5014,41.825,21.65,36.525,10,0.588124752,0.117696166,0.734909117,0.207161546,0.173423827,0.105682008,0.158653796,0.025874766,0.366953105,2.065578222,1.562942028,1.530629039,0.406043708,5.482915878,5.240103722,0.839312613,5.098897934,4.075250626,6.970175743,513.0429688,-2.797949791,-0.010388668,4.555631638,9.167909622,13.80822849,17.33525467,19.12381172,18.68228531,14.74669552,9.641279221,3.529802322,-1.926380515,908.5474854,645.1000366,4,126,18
15,5015,53.3,18.2,28.5,10,0.658004582,0.117650032,0.797056139,0.14763844,0.36254099,0.162257865,0.358936459,0.112738356,0.666730225,3.865748167,2.351357222,5.171442032,1.77506423,6.206709862,4.314698219,0.73799485,4.098056793,3.193331003,5.550958157,717.9191895,-3.580809355,-0.881380975,3.512821198,7.90983057,12.52977085,16.03240204,17.85855675,17.44803238,13.63508511,8.717085838,2.662372828,-2.732449532,890.8305054,642.4000244,5,126,25
16,5016,37.9,30.9,31.2,10,0.718482554,0.099665344,0.789497852,0.097807705,0.226391479,0.140499577,0.214827403,0.033907056,0.478662521,4.809468746,1.046198964,5.034256935,0.581074297,5.855395317,4.95036459,0.590151191,4.866473198,4.209239006,6.266409397,585.5222168,-3.221131802,-0.425505131,4.072088718,8.561440468,13.19177151,16.69406891,18.49499702,18.06276703,14.18146896,9.196610451,3.107627153,-2.347184181,847.4440918,702.1000366,5,126,25
17,5017,46.175,25.375,28.45,10,0.618733168,0.119916439,0.713091075,0.177446187,0.157993749,0.13267675,0.122416876,0.016002199,0.431827039,2.378389597,1.378650069,2.08798933,0.121765122,4.349084854,5.260190487,1.111938834,5.114723682,3.653195858,7.092370033,630.7264404,-3.34535265,-0.608686447,3.837124109,8.291101456,12.91025162,16.40906715,18.22178841,17.79756737,13.94734478,8.991005898,2.926610231,-2.487479448,851.4881592,667.6999512,5,93,25
18,5018,53.9,20.2,25.9,10,0.608395934,0.150869548,0.730186462,0.207596183,0.083357416,0.059296712,0.072111905,0.015775025,0.199060485,2.793611288,1.554219842,2.460004807,0.678495288,5.847757816,6.801177979,0.833184481,6.68853426,5.61330986,8.338101387,548.6641235,-2.973510265,-0.160759166,4.386987686,8.93903923,13.57676315,17.09310722,18.88696098,18.44704819,14.53028297,9.485976219,3.371836185,-2.097895145,892.9830933,667.8999634,NA,93,25
19,5019,26.4,38.3,35.3,10,0.508144557,0.087172866,0.659404993,0.268784642,0.209218696,0.179434478,0.164179727,0.007415242,0.551039457,3.21866703,2.232817173,3.143666744,0.405689687,6.143755913,5.237236023,1.328555226,5.0420928,3.380571604,8.370215416,513.2224731,-2.923974991,-0.07230942,4.483788967,9.031469345,13.67036629,17.17861557,18.95705414,18.51971054,14.59160995,9.543958664,3.460367203,-2.019409657,832.4050903,642.000061,4,91,1
20,5020,11.4,33,55.6,10,0.52112931,0.123259634,0.653609514,0.212861598,0.174416944,0.16426532,0.107910275,0.011647576,0.514431179,2.864688396,2.198307991,2.122124195,0.739589393,6.180484772,5.471127987,0.975890398,5.457214832,3.921328068,6.8559618,483.5289917,-2.797566891,0.090384707,4.688518524,9.259943962,13.91238403,17.42500114,19.20144844,18.75699806,14.80511379,9.73829937,3.624604702,-1.882586122,849.9796753,643.9000244,4,122,1
21,5021,72.6,8.975,18.425,10,0.517352343,0.305340767,0.66152817,0.370461553,0.046513997,0.105196297,0.014744164,0.003946562,0.37913689,2.903725386,1.494899869,2.702795744,0.840938151,5.804070473,8.502559662,1.4545995,9.022937775,4.678919792,9.777299881,481.9914856,-2.805276155,0.077400424,4.669190884,9.243305206,13.89250946,17.40511322,19.17873192,18.73581314,14.78497219,9.713450432,3.612118721,-1.888299584,861.713562,631.3999634,6,122,1
22,5022,23.3,18.6,58.1,10,0.607996821,0.133095622,0.750635743,0.155123115,0.283443302,0.208827987,0.267896175,0.023535524,0.667427719,2.89272809,2.443642855,1.688800335,0.960567415,6.18024826,4.924741268,1.04689908,4.797019005,3.550328493,6.576917171,539.2628784,-2.886632204,-0.100767091,4.441962719,9.013163567,13.6486063,17.16740227,18.96388817,18.52367401,14.60519791,9.539502144,3.430197716,-2.020339012,908.927124,602.7000732,6,126,25
23,5023,40.75,20.875,38.375,10,0.742112339,0.072998106,0.799998879,0.127969205,0.329470038,0.181357473,0.314977735,0.065814413,0.63792628,3.306674004,1.415727735,3.112501144,0.144569978,5.826010704,4.432930946,0.642246962,4.264407635,3.645546913,5.640958309,816.4462891,-3.94067812,-1.313610435,2.976900101,7.261723042,11.88357067,15.38881397,17.24250984,16.85196877,13.10539532,8.2710495,2.238615751,-3.114844322,915.2084961,599.3999634,NA,93,25
