rowid,prof7_id,sand,clay,silt,DEPTH,ndvi_mean_years,ndvi_years_range,ndvi_mean_summer,ndvi_summer_range,mean_slope,sd_slope,median_slope,q5_slope,q95_slope,mean_aspect,sd_aspect,median_aspect,q5_aspect,q95_aspect,mean_twi,sd_twi,median_twi,q5_twi,q95_twi,dem1k,tm_1,tm_2,tm_3,tm_4,tm_5,tm_6,tm_7,tm_8,tm_9,tm_10,tm_11,tm_12,rr_mean,rr_range,soil_unit,landcover,lithology
48,5048,41.275,32.775,25.95,10,0.642114103,0.126796186,0.774373293,0.128853798,0.179069668,0.139188752,0.141844958,0.020825583,0.458780646,3.913137913,1.86791718,4.639356613,0.818923533,5.973823071,5.588985443,1.047126174,5.433564186,3.96147275,7.220693111,533.2236938,-2.842208862,-0.073345788,4.46889019,9.054463387,13.69116974,17.2135601,19.01030731,18.56965637,14.65067768,9.566922188,3.460339069,-1.982832193,1050.650879,745.9000244,10,126,18
49,5049,69.2,14.2,16.6,10,0.404119939,0.109055787,0.475819141,0.131638438,0.018729946,0.020355418,0.012633971,0.002624693,0.057242457,2.850486755,1.728486061,2.867466688,0.168496192,5.965713024,9.602035522,0.361708105,9.603006363,9.09419632,10.19275379,441.322113,-2.50967741,0.273074448,4.879387856,9.577740669,14.22375679,17.76539612,19.54201698,19.09688377,15.12522602,9.930864334,3.823672295,-1.626544595,912.6881714,578.8000488,NA,11,1
50,5050,57.2,19.325,23.475,10,0.389981508,0.117121935,0.492142439,0.235780209,0.016784703,0.022625713,0.009909499,0.001981744,0.054278057,2.804432631,1.753290772,2.648402214,1.097528815,5.923295021,10.12205505,0.536179602,10.18827248,9.153279305,10.83273602,436.4053345,-2.488299608,0.306511432,4.913996696,9.604124069,14.25339031,17.79372978,19.56675911,19.12307358,15.14641285,9.958939552,3.854887009,-1.600027323,950.9559326,623.5,10,11,1
51,5051,33,20.4,46.6,10,0.574032068,0.09025389,0.70497185,0.22126925,0.053253077,0.078656048,0.020219821,0.001971956,0.24124594,2.468047619,1.970273376,1.908783674,0.354097098,6.003750324,7.789364815,1.751782298,7.615224838,4.803582668,10.24831295,441.196106,-2.507189751,0.289200127,4.895544052,9.578276634,14.22539616,17.76519775,19.54103279,19.09447861,15.1219492,9.942099571,3.837203503,-1.619546175,1012.969482,692.3999634,4,122,18
52,5052,52.1,21.7,26.2,10,0.492276996,0.173166782,0.64622885,0.237930775,0.235331029,0.262023896,0.14053604,0.00250566,0.728120089,3.605098248,2.250782728,3.852436066,1.863663435,6.177480698,6.678756237,2.862362862,5.591635704,3.510268927,10.88388443,435.0827942,-2.490596056,0.306854814,4.914926052,9.601243019,14.25164032,17.7909317,19.56372452,19.11979294,15.14423752,9.959486008,3.855310917,-1.600601435,993.1644287,674.1000366,10,122,2
53,5053,62.1,19.6,18.3,10,0.486283183,0.101134598,0.574779451,0.098123074,0.01572703,0.017661387,0.010075446,0.002023469,0.050372232,2.698338509,1.824182987,2.392049313,0.207488209,5.932515144,10.00689697,0.456790447,10.08434486,9.102333069,10.66179562,433.0621033,-2.482640743,0.313976794,4.922799587,9.611977577,14.26235676,17.8020916,19.57498741,19.13067245,15.15355968,9.966129303,3.862683773,-1.5918262,948.9203491,612.000061,4,122,1
54,5054,52.6,13.4,34,10,0.572702229,0.165305793,0.730871439,0.224092305,0.254528552,0.280719519,0.123527102,0.003922265,0.732640147,3.228532314,2.290805817,3.314597607,0.166613221,6.22783947,5.875617981,2.500179291,5.338331223,3.029278278,10.63073635,433.7520752,-2.53007102,0.260555655,4.862520695,9.545621872,14.19332981,17.73245811,19.50918579,19.06372452,15.09279728,9.914434433,3.808474541,-1.644395828,991.9830933,663.1999512,4,122,2
55,5055,59.6,21.8,18.6,10,0.501799703,0.217386544,0.640537322,0.303338468,0.237828821,0.220199496,0.160614282,0.026523465,0.655611515,3.442022324,2.439121008,4.747121811,0.139550477,6.194072723,5.080973148,0.998547733,5.156719685,3.219604969,6.417602062,440.5864563,-2.5090487,0.286315411,4.891060829,9.573700905,14.22167873,17.76138496,19.53665924,19.09040451,15.11855984,9.938136101,3.834519863,-1.621569157,989.9864502,647.6000366,4,126,1
56,5056,57.6,13.7,28.7,10,0.506223321,0.087827802,0.629340589,0.181692302,0.309585482,0.27235654,0.295256466,0,0.815885425,3.22152853,2.406858683,3.155331373,0.154046118,6.203007698,5.321172714,1.740216017,4.909121037,3.074790478,8.769960403,416.3999939,-2.429688454,0.391699702,4.984937191,9.630537033,14.2784586,17.80203438,19.57222557,19.12824059,15.15692139,10.00218678,3.92305088,-1.528813601,1123.63562,708.6000366,NA,126,2
57,5057,63.6,13.6,22.8,10,0.577833652,0.09829998,0.747039318,0.139876902,0.034116,0.091752872,0.005907898,1.39E-04,0.183684662,3.154042721,1.857414722,2.944028854,0.241128296,6.161010265,9.407063484,1.675523996,9.829995155,6.303103447,11.35664368,404.5460205,-2.391607523,0.432032228,5.027501583,9.669971466,14.32069492,17.84353065,19.61298561,19.16850853,15.19480228,10.04070568,3.962260008,-1.488955736,1089.901733,702.8000488,NA,122,2
58,5058,26.9,39.075,34.025,10,0.636178732,0.09704715,0.769101083,0.161030769,0.282874167,0.134314224,0.277405202,0.072432861,0.518682182,3.434326887,2.519118786,4.83279705,0.184123859,6.206576824,4.497303963,0.581832707,4.399045944,3.684005737,5.409068108,722.7270508,-3.231383324,-0.77747035,3.464215517,7.852458,12.4327507,15.91915321,17.75557709,17.35068321,13.55553722,8.693657875,2.787824869,-2.388627768,1244.805054,871.5999756,6,91,2
59,5059,46.2,23.8,30,10,0.599243999,0.104950368,0.738953829,0.160730779,0.105062403,0.153512746,0.028492568,0.003715244,0.475147367,3.213297606,2.480831623,3.227851391,0.880159259,6.184673786,6.074782372,1.151726723,5.992589474,4.428815842,8.669416428,401.0593567,-2.394231796,0.42926234,5.027719975,9.681214333,14.33193016,17.85672379,19.62542343,19.18034554,15.2039547,10.04021358,3.963276863,-1.490814686,1129.294922,727.3999634,4,91,2
60,5060,47.175,25.625,27.2,10,0.463683635,0.096888453,0.533380568,0.140992314,0.071192086,0.118411869,0.005308859,0,0.324909955,2.095462561,1.625486493,1.570796371,0.177064881,5.937193871,7.880703926,2.42243576,7.243160725,4.808342457,11.40070438,445.9500122,-2.585702658,0.210612014,4.772116184,9.388418198,14.03225803,17.5476265,19.31443405,18.87310028,14.92870045,9.79609108,3.745790958,-1.690678,956.9237671,601.1000366,4,93,2
61,5061,44.3,23.5,32.2,10,0.535657346,0.134109616,0.662141919,0.149469256,0.17999649,0.251285464,0.029464245,0.003320053,0.691722572,2.578777313,2.033978701,2.242240906,0.945741415,6.122919559,6.876081467,2.243823767,7.418477058,3.709244251,10.07703114,404.4429932,-2.396446228,0.424725533,5.032039642,9.700283051,14.3534174,17.88223267,19.65106583,19.20617867,15.22466087,10.05123043,3.963559389,-1.492810369,963.6796875,601.7999878,4,122,1
62,5062,54.8,25.6,19.6,10,0.561266363,0.156630754,0.734221876,0.24428463,0.014740434,0.026658401,0.008029964,0.0019448,0.049700554,2.819922209,1.820678711,2.5248909,0.996739745,6.002071381,9.835595131,1.034616351,10.16350842,7.144731522,10.75682259,391.8034058,-2.384390354,0.435905278,5.042646408,9.70584774,14.36221981,17.88689232,19.64559937,19.20407295,15.22613049,10.04808617,3.983163834,-1.470038295,948.0932617,594.5,4,122,1
63,5063,48.875,23.875,27.25,10,0.652184248,0.136080801,0.747748375,0.156784654,0.156972349,0.09913604,0.144803435,0.017316315,0.33908394,3.307854652,1.330745339,3.452112675,0.230389908,5.495854855,5.296761513,0.847106278,5.214408398,4.088319778,6.997028351,545.7276611,-3.021678686,-0.253566206,4.24075985,8.775395393,13.3965826,16.9047184,18.69513512,18.25929451,14.36745739,9.330235481,3.271412611,-2.15546751,861.7999878,588.5,6,122,25
64,5064,37.875,35.225,26.9,10,0.708525002,0.094305754,0.803094149,0.102846146,0.129156232,0.118547939,0.088398397,0.012110806,0.368383408,2.87873435,1.313090444,3.07210207,0.422919124,5.307745457,6.401236057,1.156563282,6.577368259,4.308243752,8.031732559,498.8126221,-2.939201832,-0.164476693,4.334472656,8.879096031,13.50043774,17.00632858,18.79136086,18.35456657,14.45471764,9.403608322,3.356581926,-2.069764853,923.2999878,614.3999634,6,91,25
65,5065,47.5,29.2,23.3,10,0.601028323,0.155383885,0.717579603,0.128953874,0.08199998,0.086848386,0.039880067,0.004387251,0.252757996,2.398802757,1.630362749,2.313400269,0.148355275,5.974900246,7.515257359,1.107092023,7.450043678,5.799727917,9.350182533,440.6209106,-2.551230192,0.250644982,4.831438065,9.466779709,14.1152544,17.63737297,19.40300751,18.96120834,15.0073452,9.857818604,3.792796612,-1.653444529,909.0949097,583.2000122,6,126,2
66,5066,57.2,21.8,21,10,0.579547644,0.141936541,0.71403116,0.168369234,0.075837068,0.10735175,0.032871261,0.004223541,0.278308004,3.30262208,1.698164821,3.266495228,0.475972325,5.94675827,7.351152897,1.513480306,7.148885727,5.028090954,9.59691906,437.8420105,-2.503389835,0.302254349,4.904073238,9.575198174,14.22372913,17.7576561,19.53171158,19.08613968,15.11502838,9.944396019,3.846977472,-1.610716224,850.4898682,591.000061,4,122,1
67,5067,53.5,21.8,24.7,10,0.709006608,0.158674955,0.765627861,0.15192306,0.100084223,0.130854905,0.047094956,0.004041329,0.425944179,3.121703863,1.395011425,3.485942602,3.376031637,5.290403843,6.825232983,1.509166241,6.900252819,4.318026066,10.10463715,499.8703613,-2.876298666,-0.089216836,4.441607475,9.006893158,13.63928413,17.15257072,18.9435215,18.50300789,14.58957672,9.523619652,3.43734479,-2.007271767,866.4373169,600.0999756,4,93,25
68,5068,57.125,19.65,23.225,10,0.557123125,0.116998583,0.698723674,0.217469215,0.222301468,0.124369457,0.212016106,0.048118532,0.432015419,2.273264885,1.51229012,2.811362743,0.37289685,5.364610672,4.59189415,0.73929441,4.416775703,3.668881416,5.953632832,534.6599731,-2.863696098,-0.075206645,4.459103584,9.028898239,13.66055202,17.17598915,18.96596527,18.52561569,14.60855961,9.541060448,3.451299429,-1.994313836,858.2999878,617.000061,4,91,25
69,5069,45.1,24.7,30.2,10,0.557017088,0.142819256,0.683164835,0.264338493,0.230198771,0.156292379,0.210662663,0.021519512,0.52119571,2.991785765,1.777150989,2.866000652,1.717665434,6.104745865,5.255878925,0.785896182,5.403100014,3.8958776,6.462395668,528.994751,-2.908419847,-0.099991657,4.448141098,9.015282631,13.65150356,17.16740227,18.95877647,18.51681328,14.59754276,9.536714554,3.430593252,-2.032586098,880.1813965,647.9000244,4,122,2
70,5070,49.275,22.525,28.2,10,0.559316337,0.123428822,0.67228967,0.194469213,0.096847214,0.116167113,0.052127272,0.007545052,0.346555054,2.652367592,1.724357963,2.378489017,0.450206965,5.909733772,6.48520565,1.235128164,6.767926216,3.831905127,8.022939682,497.2672424,-2.799999952,0.032215927,4.61224699,9.210028648,13.85503006,17.37680817,19.16041565,18.71634865,14.77358818,9.681930542,3.569209099,-1.908939362,876.7763062,639.7000122,5,122,25
71,5071,46.35,23.6,30.05,10,0.647278249,0.113109589,0.74193871,0.140161574,0.091257587,0.102751628,0.039522395,0.004583837,0.300680995,2.556096315,1.62581408,2.529516459,0.474754602,5.920135021,6.179769039,0.886348188,6.280135632,4.647978783,7.276273251,451.0019531,-2.595790148,0.197818741,4.791088104,9.454379082,14.10057449,17.63559341,19.41446114,18.96949196,15.0081358,9.847676277,3.743163824,-1.711946487,873.9932251,614.5999756,4,93,25
72,5072,47.7,24.4,27.9,10,0.580863953,0.116880417,0.702983379,0.148453891,0.383866906,0.191644654,0.349294841,0.160438433,0.721446037,1.915146232,2.479002714,0.489939392,2.098558426,6.227890015,3.890625238,0.550243318,3.945440769,3.004698038,4.679329395,518.6172485,-2.713258743,0.063130386,4.59204483,9.161158562,13.79119778,17.30474663,19.0970211,18.65576935,14.73649788,9.65913105,3.57985878,-1.848961234,1252.711914,892.2000122,9,126,2
73,5073,55.3,23,21.7,10,0.670390964,0.099951923,0.792627454,0.117376924,0.355767041,0.235447019,0.310518891,0.049422279,0.781484663,3.661145449,2.283838034,4.04049015,0.251633137,6.19556427,4.767138958,0.892390311,4.7132411,3.34226799,6.200139523,538.4963379,-2.868726015,-0.105912387,4.425943375,9.011497498,13.64308357,17.16485977,18.96011543,18.51946449,14.60446358,9.524767876,3.424971819,-2.0110991,986.1491699,632.8000488,NA,91,1
74,5074,57.375,18.7,23.925,10,0.5635885,0.092736542,0.672040939,0.13906157,0.118819982,0.181581795,0.034295138,0.004086187,0.581106424,2.617262602,2.165868759,1.992238641,0.081193306,6.155593395,6.955388069,1.612847686,6.844818115,4.261238575,9.576423645,410.1019287,-2.410360813,0.403612137,5.018972397,9.70101738,14.35475731,17.88929367,19.65921402,19.21451569,15.23056507,10.04559898,3.949858904,-1.509158015,941.0796509,583.3000488,6,122,1
75,5075,37.8,27.6,34.6,10,0.562956512,0.099363446,0.651615918,0.12402308,0.020113217,0.021516547,0.012167063,0.002609016,0.068422519,2.809096575,1.485566139,2.710186005,1.324295998,5.707456112,8.682125092,0.697225273,8.698989868,7.426198006,9.864795685,432.556427,-2.483023643,0.318089873,4.926517487,9.609548569,14.26058006,17.79881477,19.57096863,19.12657166,15.15081978,9.967031479,3.865734577,-1.591306686,885.8712158,579.9000854,4,122,2
76,5076,54.8,23.9,21.3,10,0.589424193,0.098823071,0.747401059,0.181400061,0.059799153,0.117797188,0.011383866,0.002622409,0.370969981,2.459196806,1.889257431,2.075289488,0.117876291,6.048083305,8.129066467,1.893093109,8.485525131,4.75347662,10.28929138,404.4273987,-2.373838186,0.446859598,5.062930584,9.742175102,14.39661026,17.92923737,19.6976757,19.25106621,15.26579094,10.0819025,3.989886999,-1.468862772,935.1847534,582.7000122,4,122,1
77,5077,53.9,22.9,23.2,10,0.647929013,0.164382696,0.758663833,0.193261564,0.090266876,0.111396074,0.019571166,0.003420389,0.313818187,2.204930544,1.446801066,1.922215343,0.593818903,4.770540714,7.114089966,1.810568333,7.477027893,4.243514061,9.882962227,646.2678223,-3.400710821,-0.653968036,3.734062433,8.11841774,12.71878147,16.20624352,17.9974041,17.59382248,13.76827717,8.832613945,2.88542366,-2.489775896,773.569519,493,4,122,9
78,5078,36.3,30.7,33,10,0.551220655,0.154123038,0.670364261,0.268161535,0.050055742,0.078613229,0.019987088,0.003969732,0.202585116,3.71872139,1.658534408,4.064174175,0.767506599,5.956842899,8.291508675,1.314520717,8.601509094,5.534106731,9.72531414,588.9412231,-3.103471994,-0.31863153,4.146090984,8.62036705,13.23080921,16.72590446,18.50596046,18.08490944,14.2071476,9.207763672,3.213163853,-2.196774244,811.288147,518.7000732,4,126,5
79,5079,61,19.4,19.6,10,0.486745387,0.174274504,0.583540559,0.242399961,0.09615732,0.133023471,0.03096913,0.004581135,0.39143461,2.318882704,1.350597024,1.957209349,0.974179506,5.068458557,7.148343563,1.666437507,7.117135048,4.148868561,9.360509872,577.5802002,-3.084609032,-0.288720071,4.196528435,8.689463615,13.30710793,16.80548096,18.59059715,18.16309547,14.27553654,9.268808365,3.242259979,-2.18635869,803.6254272,566.9000854,4,122,1
80,5080,56.1,22.7,21.2,10,0.546934664,0.222538441,0.639393091,0.274061561,0.013063933,0.020227777,0.008700017,0.002656663,0.028381797,3.132332802,1.132982016,3.063769817,1.478073597,4.999184132,8.850248337,0.686445653,8.700623512,7.974003792,9.882205963,587.5518799,-3.110278845,-0.322164357,4.152706623,8.638503075,13.25508499,16.75347519,18.53821754,18.11235619,14.2308197,9.22941494,3.209180832,-2.213477373,777.5491943,546.8999634,4,122,1
81,5081,31.6,35.9,32.5,10,0.551958263,0.134841651,0.66640085,0.267553866,0.10239815,0.120619372,0.053557925,0.00531041,0.379389405,3.301994085,1.361190438,3.631700993,0.503591001,5.184695721,6.341958046,1.331198692,6.14932394,4.663229942,8.831512451,558.5944214,-3.072963476,-0.259615302,4.254538059,8.767542839,13.39685631,16.89954758,18.68720627,18.25295258,14.3546896,9.339940071,3.27118659,-2.183871031,821.503418,627.6999512,4,91,2
82,5082,65.6,17.6,16.8,10,0.695457995,0.107236505,0.774355352,0.156569242,0.241161898,0.128895536,0.215446562,0.046750307,0.46122551,4.328080177,1.598275423,4.71973896,0.777928412,6.102244854,4.853853226,0.976724267,4.532994747,3.690442562,6.691687107,602.9080811,-3.192044973,-0.422214448,4.038108349,8.506073952,13.12022972,16.6157341,18.40653419,17.98286057,14.11550903,9.13326931,3.109887123,-2.304401398,796.5,592,4,93,1
83,5083,62.3,16.45,21.25,10,0.67830503,0.084617317,0.769236028,0.112830758,0.363541245,0.158540472,0.390292525,0.05604535,0.589731753,4.380590439,1.490596533,4.733436584,0.278047323,6.048902988,4.447603703,1.10756278,4.028524399,3.288303614,6.864664078,759.2108154,-3.817386627,-1.129589081,3.175751925,7.464802265,12.07304573,15.56593227,17.39106178,17.00041008,13.23759937,8.38326931,2.409632921,-2.951093435,810.8084717,527.6000366,4,126,25
84,5084,44.65,25.175,30.175,10,0.664426029,0.103682697,0.749295294,0.133992255,0.182385236,0.158070102,0.125438005,0.013855767,0.481376112,2.769088745,1.808921695,3.118001699,0.289477915,5.973530293,5.869813442,1.212111115,6.012872696,3.68793869,7.334663391,634.7609253,-3.387889624,-0.593453109,3.837315559,8.260508537,12.87624359,16.37624359,18.16845322,17.75161362,13.90740108,8.945161819,2.93293786,-2.495543957,801.1677856,532.7999878,4,91,18
85,5085,30.175,35.725,34.1,10,0.632686317,0.155917287,0.702047467,0.232569218,0.416695714,0.223467305,0.340234637,0.138689131,0.797894716,3.34455657,1.929106474,3.452502251,0.12846078,6.077075005,3.929888487,0.661850572,3.943130493,2.894345522,5.114528656,919.8234863,-4.020256996,-1.625351787,2.442099571,6.606130123,11.20032787,14.67833328,16.54549026,16.18485451,12.50217533,7.817987919,1.921299458,-3.193739891,776.4017334,526.9000854,5,93,9
86,5086,44.925,33.3,21.775,10,0.743851125,0.077261567,0.79140228,0.115869224,0.135241061,0.073243782,0.129697949,0.04104102,0.274100035,4.449123859,1.413428783,4.859267712,1.059189439,5.921389103,5.334518433,0.707615018,5.305323124,4.348583221,6.625692844,655.4893188,-3.405604124,-0.651460111,3.750656128,8.146553993,12.75399113,16.24432182,18.03906631,17.63201141,13.8016386,8.859021187,2.887090445,-2.50144887,801.425415,544.2999878,5,126,6
87,5087,26.05,34.85,39.1,10,0.666085422,0.148815334,0.790864468,0.171415389,0.353581607,0.143689856,0.329014927,0.125112757,0.60426867,4.411451817,1.829064131,5.241241455,0.419383019,6.118829727,4.335464954,0.891583085,4.078441143,3.235117197,6.140176773,695.4567871,-3.470093012,-0.728700876,3.665390968,8.05076313,12.66180992,16.15242958,17.95464706,17.54931641,13.72649765,8.797676086,2.810338974,-2.577556133,824.5491333,595.1000366,5,126,9
88,5088,72.9,13.475,13.625,10,0.687005877,0.10209775,0.792665184,0.133900046,0.4041982,0.140879467,0.402211785,0.175868675,0.641754627,3.587521315,1.723115206,3.566888332,0.449027896,6.068759918,4.060346127,0.487111211,3.996841669,3.425947666,4.958710194,973.7952271,-3.718616724,-1.61976707,2.251749516,6.370847702,10.93507385,14.40011311,16.28389931,15.93912029,12.28302288,7.69953537,1.965226054,-2.87684536,797.7999878,534.5999756,4,93,18
89,5089,44.3,27.55,28.15,10,0.72782594,0.135713458,0.810669899,0.110700011,0.322868288,0.131024197,0.304544657,0.136925504,0.576207936,4.639837742,1.134780526,4.764789581,0.391968131,5.963582039,4.458045483,0.581878543,4.338952065,3.699241638,5.44824791,619.4824219,-3.276216507,-0.533282518,3.904210091,8.355875969,12.96823406,16.460989,18.26284981,17.83977699,13.98855972,9.024521828,2.996836185,-2.405850172,862.2355957,620.500061,4,126,18
90,5090,53.925,20.65,25.425,10,0.72792232,0.122384667,0.800953627,0.14500767,0.369337112,0.243988797,0.35362035,0.014474055,0.71806556,3.30553484,1.31224072,3.312961578,0.101750247,5.712815285,3.943033457,0.713304162,3.868824959,2.96269536,5.180090427,767.5805054,-3.811427116,-1.139241934,3.168288708,7.463078976,12.07413864,15.5639267,17.39723969,17.00082016,13.23935032,8.392154694,2.396158218,-2.963340759,861.3915405,623.1000366,4,91,18
91,5091,70.6,15.1,14.3,10,0.591027141,0.1104846,0.710294485,0.203384578,0.041070983,0.040994599,0.026593473,0.003953101,0.127485484,4.047028542,1.984662294,5.000819683,0.118506856,6.111543179,7.968423843,0.917057216,7.806917191,6.886772156,10.08684731,517.7623291,-2.937206268,-0.07782416,4.487124443,9.035084724,13.67774773,17.18678093,18.96796036,18.52621651,14.59621525,9.552186966,3.456412554,-2.033898354,835.0423584,665.500061,10,122,2
92,5092,22.8,35.8,41.4,10,0.571704507,0.108601928,0.673861623,0.143223107,0.108419895,0.091634899,0.089714125,0.005275126,0.273435235,3.902784109,1.573264241,4.357076168,0.859949946,5.837677479,6.388055325,1.109254837,6.300858021,4.662816525,8.532414436,517.8282471,-2.980180502,-0.111064948,4.455303669,8.995903969,13.64100647,17.1502552,18.93124771,18.49002266,14.56248569,9.529387474,3.421073437,-2.076763391,814.0881348,652.5,3,122,2
93,5093,40.8,27.6,31.6,10,0.476445913,0.216582686,0.627400279,0.344299972,0.098499887,0.085342921,0.073028967,0.017777905,0.266337991,2.261749506,1.193929434,2.008753061,0.113718852,5.394505501,6.366145611,0.860356331,6.525009155,4.97219944,7.479658604,509.2831421,-2.91618371,-0.035209142,4.548906803,9.100734711,13.75062943,17.26115799,19.04147148,18.59732056,14.66059303,9.616156578,3.497711897,-2.009622812,812.6271362,631.6999512,3,122,25
94,5094,53.225,17.275,29.5,10,0.516388059,0.120780021,0.629980624,0.186159313,0.179688752,0.16399391,0.139890313,0.005607142,0.477885604,2.625506401,2.062246084,1.876758337,0.574542522,6.100779057,5.610994816,1.578494072,5.277213097,3.794076681,8.727897644,467.2452393,-2.801202774,0.120562345,4.734226227,9.300338745,13.95880318,17.46861649,19.23865509,18.79196358,14.83175182,9.771459579,3.655480385,-1.871241093,817.0355835,639.2999878,4,12,1
95,5095,46,22.8,31.2,10,0.626811326,0.118817329,0.745207369,0.177176952,0.307195991,0.133033797,0.290815055,0.117299162,0.551380813,2.727748632,1.183692217,2.882963181,1.679199934,4.257311344,4.395984173,0.475933075,4.305734158,3.688001156,5.293433189,868.5401611,-4.017277241,-1.416318774,2.821159124,7.046243191,11.66224766,15.15638447,17.01159096,16.63299751,12.91107368,8.11796093,2.1381073,-3.179797888,876.4525757,547.6000366,9,126,25
96,5096,44.2,25,30.8,10,0.564868927,0.135163456,0.6818856,0.165692329,0.118934438,0.102857396,0.096536025,0.010396835,0.318143427,2.779955387,1.223322392,2.752260208,0.29613325,5.665484905,5.87066555,0.900800288,5.7967453,4.438376904,7.386338711,676.0044556,-3.440322638,-0.691234231,3.708119154,8.101214409,12.7104435,16.20271301,18.00161362,17.59532547,13.76726055,8.830453873,2.848474503,-2.543083668,829.3406982,572.3999634,6,126,25
97,5097,36.35,26.95,36.7,10,0.590492666,0.16040194,0.702944815,0.210038424,0.34192884,0.178278133,0.342685193,0.053001583,0.642001331,2.41456461,1.790753961,1.615025043,0.132851228,5.725304127,4.438057423,0.9277156,4.269864559,3.346808672,6.187688351,665.6266479,-3.385730028,-0.616448224,3.821596622,8.247994423,12.86593819,16.36480331,18.16547394,17.74991798,13.90288162,8.948879242,2.9206779,-2.498113871,895.2932129,654.5999756,6,91,5
98,5098,45.3,21.9,32.8,10,0.630723178,0.144957662,0.735920906,0.159007728,0.130230367,0.121132508,0.095936351,0.019871237,0.40888074,2.714855433,1.086652398,2.640740871,0.213672221,5.053630352,6.159749508,0.681883276,6.169764996,5.007699966,7.104528904,572.5169067,-3.116293192,-0.299800664,4.219409466,8.728530884,13.36047077,16.86556435,18.65702629,18.22230721,14.32471752,9.318862915,3.232683659,-2.22960639,833.1135864,643.7999878,6,122,2
99,5099,30,35.8,34.2,10,0.699623287,0.107503831,0.803537607,0.116892278,0.288237959,0.14000088,0.276167959,0.079536058,0.538669527,3.717356682,1.973322988,4.649284363,0.29394716,6.060946465,4.342842579,0.593640506,4.358561516,3.529822826,5.318228722,703.6951294,-3.598387241,-0.876215875,3.504866123,7.872740269,12.48739815,15.98268414,17.80043793,17.39559937,13.58765602,8.682641029,2.664406776,-2.727309942,826.4101563,644.3000488,6,91,5
100,5100,41.875,14.925,43.2,10,0.717280209,0.088375628,0.786730289,0.105946183,0.348238051,0.151198432,0.335789293,0.123834766,0.626466334,1.629603148,1.104184866,1.241995573,1.737498879,3.695611954,4.599009037,0.977583647,4.394495964,3.415020704,6.822362423,798.2064209,-3.908720732,-1.252337813,3.03130126,7.29613018,11.91085339,15.4071188,17.24412346,16.85866547,13.11090374,8.275588036,2.296694994,-3.051120996,840.711853,524,NA,126,25
