"nrounds","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","cv_or_validation_RMSE","cv_or_validation_MAE"
347,0.001,6,6,0.667,0.667,0,19.367,16.944
977,0.034,15,10,0.944,0.5,2,9.983,7.855
990,0.167,12,6,0.722,0.611,0,9.784,7.739
1144,0.001,9,3,0.5,0.611,0,12.651,10.461
1707,0.234,18,8,0.556,0.944,3,10.281,8.177
1977,0.267,8,15,0.667,0.889,0,10.47,8.436
2031,0.2,14,6,0.889,0.722,1,10.163,8.061
2050,0.2,3,5,0.778,0.944,4,9.903,7.881
2201,0.001,10,14,1,0.889,2,10.105,8.139
2778,0.067,6,1,0.556,0.667,5,9.806,7.769
3000,0.3,19,15,0.828557866159073,0.894073420851933,0,10.37,8.224
772,0.3,11,4,0.898433763715275,0.70584180056372,0,10.265,8.218
2539,0.3,18,4,0.995386579337418,0.61162441673325,5,10.128,8.023
904,0.3,11,15,0.752218760349761,0.627593496680764,5,10.658,8.533
3000,0.0490726434015571,3,9,1,1,0,10.569,8.351
1496,0.0658739640861786,13,15,0.668333763869789,0.542775633700756,2,10.271,8.21
300,0.081554739139162,20,1,0.783962170780393,0.986461692810219,0,10.124,8.03
300,0.0943111356133158,14,8,0.802563353940108,0.903560803816833,0,10.158,7.924
3000,0.3,11,1,0.5,0.955637344608497,4,10.638,8.459
1851,0.00100000000000022,20,1,1,0.578662901270078,2,10.906,8.722
3000,0.00100000000000022,16,15,1,0.584917886538973,3,9.89,7.833
2411,0.290457657809381,5,15,1,0.886711374589976,4,10.716,8.361
1612,0.156577257081762,4,11,0.93756861261086,0.723729152944368,2,10.414,8.248
1176,0.3,20,11,0.720585894490696,0.804717839986876,0,10.731,8.562
2070,0.189917255627221,3,2,0.939717418677332,0.725995122128563,4,9.93,7.847
3000,0.18733122589507,8,6,0.522522472698773,0.830967407917151,0,10.181,8.18
300,0.3,17,1,0.555841529193536,0.729656692540256,0,10.803,8.614
2706,0.119666498981964,4,3,0.810618793577629,0.615438145495675,4,9.951,7.928
3000,0.106861731110306,20,1,0.893888934610098,0.510452165687932,5,10.081,7.959
1915,0.149446509724964,20,9,0.947227302113747,0.554600923960264,5,10.073,8.041
3000,0.13342373621563,15,1,0.60544568117977,0.945175477636507,2,10.164,8.104
1369,0.3,20,7,0.902692910849074,0.620251124990384,5,10.051,8.111
2378,0.0788385080635033,3,12,0.643440116409571,0.679347965140458,0,10.037,7.931
2377,0.234884656391195,20,13,0.948036108607343,0.502289921586421,0,10.327,8.176
1032,0.151303804877676,20,14,0.67828667890015,0.570386042639068,5,10.371,8.323
655,0.16417251335916,16,1,1,0.934166224405874,5,10.487,8.332
464,0.3,3,9,0.715222861789636,0.714983902200581,3,10.192,8.267
2995,0.179236665076563,20,4,0.798560424562425,0.849999115799373,1,10.047,8.074
300,0.0881526973042424,3,10,0.907616897548678,0.512836737039813,5,10.218,8.06
3000,0.00100000000000022,3,11,0.662781346807479,0.581882875567589,0,9.623,7.73
300,0.152409150228555,3,7,0.731929089532245,0.537525898594376,5,10.038,7.958
300,0.235909833884908,20,10,0.894773664429653,0.591582568813047,2,10.242,8.073
3000,0.00100000000000022,20,12,0.841690813368229,0.792065144365388,5,9.72,7.674
3000,0.26433714058594,3,3,0.912841593116653,0.788548737098549,1,10.136,8.087
408,0.100599734393671,3,2,0.757356095147212,0.521351907789733,5,9.716,7.708
3000,0.164619735365998,3,15,0.909285453807491,0.590109136973855,0,10.315,8.122
3000,0.3,20,9,0.50791033242359,0.945506300179,2,10.734,8.785
3000,0.3,14,13,0.661960385562124,0.950589867393209,0,10.753,8.586
300,0.151829485163629,3,9,0.731362300254849,0.747720034543769,0,10.154,8.022
300,0.00100000000000022,3,12,0.630120160766005,0.792490983896899,1,19.934,17.547
3000,0.00100000000000022,3,11,0.662781346807479,0.581882875567589,0,9.632,7.674
