"Feature","Gain","Cover","Frequency","Importance","Cluster"
"PC6",0.137892690092149,0.125070895958096,0.10352192485398,0.137892690092149,"1"
"PC7",0.11837152315637,0.112678699517907,0.0902275302937843,0.11837152315637,"1"
"PC1",0.108326231905346,0.0994857957862779,0.117513730276349,0.108326231905346,"1"
"PC3",0.0866260395424522,0.0905341384889986,0.09493505361346,0.0866260395424522,"1"
"PC9",0.0834215744835163,0.0869017632241814,0.0798099555400575,0.0834215744835163,"1"
"PC2",0.079331037546785,0.0758336530602032,0.0965478162322378,0.079331037546785,"1"
"PC8",0.0745620313007629,0.0803209501726525,0.0735332577804899,0.0745620313007629,"1"
"PC4",0.074059128019108,0.0811154019383789,0.0816406590532648,0.074059128019108,"1"
"PC10",0.0721825826084539,0.068837890136287,0.0726614942027722,0.0721825826084539,"1"
"PC5",0.0619935355528703,0.0621903514771381,0.0732717287071746,0.0619935355528703,"1"
"PC12",0.053832547383504,0.0595963934809081,0.0590183942114898,0.053832547383504,"1"
"PC11",0.0494010784086825,0.0574340667589704,0.0573184552349403,0.0494010784086825,"1"
