"Feature","Gain","Cover","Frequency","Importance","Cluster"
"PC5",0.332428206609785,0.183136503256862,0.132619643889149,0.332428206609785,"2"
"PC7",0.121533847375288,0.0622754911887118,0.0797809395382117,0.121533847375288,"1"
"PC3",0.110692104675926,0.115798581759674,0.112447367696838,0.110692104675926,"1"
"PC2",0.0769642602495286,0.0806835515655542,0.0781572501857611,0.0769642602495286,"1"
"PC9",0.0682648754535009,0.0758813662673077,0.0818724715854363,0.0682648754535009,"1"
"PC8",0.0624477817926013,0.0785151597467455,0.0740292264083441,0.0624477817926013,"1"
"PC6",0.0538750403253215,0.0836336282143583,0.093485978479236,0.0538750403253215,"1"
"PC1",0.0495695829926681,0.0921979685692413,0.0793130968434378,0.0495695829926681,"1"
"PC10",0.0428986957720009,0.0808174732678985,0.0758180367118915,0.0428986957720009,"1"
"PC11",0.0292654648559953,0.0445807300917316,0.0514902165836475,0.0292654648559953,"1"
"PC12",0.0291668724548916,0.0516111445651534,0.0698186421553788,0.0291668724548916,"1"
"PC4",0.022893267442492,0.0508684015067616,0.0711671299226684,0.022893267442492,"1"
