"nrounds","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","cv_or_validation_RMSE","cv_or_validation_MAE"
347,0.001,6,6,0.667,0.667,0,328.272,222.308
977,0.034,15,10,0.944,0.5,2,260.538,192.791
990,0.167,12,6,0.722,0.611,0,252.269,183.063
1144,0.001,9,3,0.5,0.611,0,262.553,164.989
1707,0.234,18,8,0.556,0.944,3,275.531,206.482
1977,0.267,8,15,0.667,0.889,0,292.928,216.135
2031,0.2,14,6,0.889,0.722,1,246.479,176.534
2050,0.2,3,5,0.778,0.944,4,253.203,180.838
2201,0.001,10,14,1,0.889,2,239.33,161.368
2778,0.067,6,1,0.556,0.667,5,228.866,159.241
2048,0.0868320026285358,5,2,0.638704764481917,0.5,1,242.573,168.639
3000,0.00100000000000022,5,1,1,0.534960487167332,1,251.859,170.837
1632,0.00100000000000022,3,1,1,0.888757417781711,1,255.855,162.007
1658,0.107925563188374,20,1,0.5,0.727183208726499,4,230.94,158.308
700,0.081445532100171,14,13,0.523571140932386,0.605174890423049,3,270.783,203.834
3000,0.195074954981511,20,15,0.957561935170873,0.995791421990112,3,282.582,209
3000,0.00100000000000022,10,15,0.5,0.5,4,241.16,167.127
3000,0.3,6,1,1,0.509288672978622,5,247.004,173.903
300,0.3,10,3,0.809499134042667,0.989859101977441,0,239.358,165.511
300,0.3,16,5,0.623354634225792,0.960516721797066,0,268.37,194.843
3000,0.227764174050572,13,2,0.975072421242043,0.51337345514395,4,248.796,174.521
3000,0.3,4,11,1,0.783980026646601,2,269.118,201.623
3000,0.100052294598107,16,1,1,0.54428546465625,1,236.666,164.81
391,0.3,18,2,0.547836691402329,1,0,243.287,175.581
1127,0.3,13,3,0.969866902619698,0.5,5,250.699,176.904
1417,0.0449578282731223,15,15,0.536551787247034,1,0,277.323,204.791
1624,0.00100000000000022,13,12,0.674486972657943,1,5,242.969,161.072
510,0.0516659014987166,20,2,0.588739936554213,0.5,5,237.374,164.963
977,0.00100000000000022,14,12,0.765461410332896,0.5,0,266.046,166.71
594,0.00100000000000022,16,14,0.922841906160356,0.5,5,291.502,186.669
2567,0.00100000000000022,16,5,1,1,1,240.913,163.995
300,0.139752949713009,13,1,0.999793217341529,1,5,253.671,169.378
1019,0.175110207652818,8,1,0.5,1,3,245.362,167.525
1442,0.00100000000000022,9,12,0.792192218680045,0.819106834451255,5,245.415,158.98
3000,0.0856636932986119,7,11,1,0.744551325943083,1,267.282,198.044
1310,0.181545620035708,20,3,1,0.5,0,240.523,165.441
3000,0.0659057741086837,4,7,0.599155874262018,0.681954532295465,0,259.072,186.995
3000,0.00100000000000022,10,13,0.743088283700234,0.712819280043302,5,232.432,161.214
3000,0.00100000000000022,11,4,0.858046808019489,0.668391990222279,5,228.149,155.725
3000,0.0886110817729192,10,5,0.738077604128676,0.794284482075202,1,243.823,174.277
300,0.166618097608361,17,3,0.884698645072546,0.685078950335992,5,236.063,163.772
2505,0.166708438779394,7,1,0.629862506956278,0.656013833510042,5,236.429,167.193
3000,0.00100000000000022,5,14,0.542522540342402,0.771489950108641,0,241.858,166.721
3000,0.0621285406069929,20,3,0.883051325908435,0.644128075687738,5,231.51,158.993
2527,0.0669103719191173,3,13,0.678477441877184,0.770357740525415,5,275.36,206.573
2054,0.00100000000000022,19,1,0.738724408168187,0.786006225414994,5,240.796,158.027
3000,0.00100000000000022,20,10,1,0.854534950469921,4,250.049,176.137
300,0.3,3,1,0.5,0.5,5,257.896,187.826
300,0.228556295768132,20,3,1,0.878094129763835,0,257.742,173.27
1874,0.094992500868134,15,3,0.947272171295302,1,5,247.982,171.346
3000,0.00100000000000022,11,4,0.858046808019489,0.668391990222279,5,233.025,159.655
